Username,Forum Profile,Vendor Profile,Date Registered,Last Active,Signature,Personal Text,Custom Title,Location,Posts,Karma
Herbal Remedy,53689,39a9ee57e6,2013/02/05 07:30,2013/09/01 02:38,"Vendor page and PGP public key:  
http://silkroadvb5piz3r.onion/silkroad/user/39a9ee57e6",N/A,N/A,N/A,63 (0.257 per day),+1/-0
nomad bloodbath,89,f6b29a3812,2011/06/18 13:54,2013/10/07 02:42,"R.I.P. Moderator 2011-2013
18dtoSZVvSNC3Z8iqRLCZLK83jAS6otycP
Do Not PM me unless you have first made a donation to my Silk Road 
Marketplace username nomad bloodbath. If you expect an answer I expect to 
be paid for my time and knowledge. All PM's not accompanied with a donation 
will be deleted.",Local Silverback,Silk Road Revolutionary,18dtoSZVvSNC3Z8iqRLCZLK83jAS6otycP,4179 (4.957 per day),+528/-94
elk,15825,N/A,2012/03/28 21:52,N/A,"check out my listings here: 
silkroadvb5piz3r.onion/index.php/silkroad/user/f9145df4cc
happy hunting =)",N/A,N/A,N/A,11 (0.020 per day),+0/-0
TimHortons,78920,c3e3aafc10,2013/07/13 00:35,2013/10/01 02:39,"Vendor Page: http://silkroadvb5piz3r.onion/silkroad/user/c3e3aafc10

Review Thread: http://dkn255hz262ypmii.onion/index.php?topic=201921.0

PGP: http://dkn255hz262ypmii.onion/index.php?topic=174.1860",N/A,N/A,N/A,73 (0.839 per day),+3/-0
safesecureair,34928,31866db3c2,2012/09/18 06:38,2013/09/20 12:07,http://silkroadvb5piz3r.onion/index.php/silkroad/user/31866db3c2,N/A,N/A,N/A,5 (0.013 per day),+0/-1
DutchMagic,64104,970faf3258,2013/04/14 11:33,N/A,"http://silkroadvb5piz3r.onion/silkroad/user/970faf3258

In stock: Amnesia Haze, White Widow, Casey Jones, Kandy Kush, Cheese, 
Critical Jack, Snowball, NYC Diesel, Citral, NLX, Power Plant, Afghani 
Hash, Hexagram/Jodenster Hash, Polm Hash","Keep Blazing, Stay Amazing",N/A,N/A,113 (0.638 per day),+11/-2
Crystal_Method_UK,55590,2ffe77edac,2013/02/19 02:11,2013/03/13 07:05,http://silkroadvb5piz3r.onion/silkroad/user/2ffe77edac,N/A,N/A,United Kingdom,0 (0 per day),+0/-0
03welle,75513,d1dd7f9686,2013/06/19 09:16,N/A,"To all our customers:

We will continue our shop both on BMR and SM under the same vendor name, 
03welle.
SM: 
http://sheep5u64fi457aw.onion/account/profile/1b053968b4ee16aaaccc89b4514ff61f

http://silkroadvb5piz3r.onion/silkroad/user/d1dd7f9686",N/A,N/A,N/A,11 (0.099 per day),+0/-0
FrequentFlyers,72822,30ae00da0e,2013/06/03 04:11,2013/10/03 09:26,"☮USA Vendor of Quality Psychedelics, MDMA and Cannabis☮
http://silkroadvb5piz3r.onion/silkroad/user/30ae00da0e

☮LSD, MDMA, Organic Cannabis, and THC Lollipops☮
Some of the best deals on the road for personal amounts!

Feedback Thread:
http://dkn255hz262ypmii.onion/index.php?topic=170788.msg1460044",Nothing Less Than Perfection,N/A,N/A,157 (1.236 per day),+4/-10
HollyMolly2012,33246,9a1d47ff4d,2012/09/04 07:40,N/A,http://silkroadvb5piz3r.onion/index.php/silkroad/user/9a1d47ff4d,We are not alone. Love from space!,N/A,N/A,120 (0.301 per day),+31/-11
